hole_cards,win_probability
6S 2C,0.341895
6S 2S,0.375265
6S 3H,0.3628
6S 3D,0.359465
6S 3C,0.359065
6S 3S,0.39352
6S 4H,0.38052
6S 4D,0.37933
6S 4C,0.379365
6S 4S,0.41224
6S 5H,0.396995
6S 5D,0.403265
6S 5C,0.398465
6S 5S,0.433005
6S 6H,0.63347
6S 6D,0.6307
6S 6C,0.63156
6S 7H,0.4243
6S 7D,0.42351
6S 7C,0.42488
6S 7S,0.454395
6S 8H,0.433895
6S 8D,0.43345
6S 8C,0.43182
6S 8S,0.461265
6S 9H,0.44647
6S 9D,0.44599
6S 9C,0.443865
6S 9S,0.47336
6S TH,0.457985
6S TD,0.461635
6S TC,0.46055
6S TS,0.48926
6S JH,0.47382
6S JD,0.478605
6S JC,0.477675
6S JS,0.510065
6S QH,0.509995
6S QD,0.509865
6S QC,0.511095
6S QS,0.53598
6S KH,0.54277
6S KD,0.54552
6S KC,0.539715
6S KS,0.5675
6S AH,0.57647
6S AD,0.57738
6S AC,0.57591
6S AS,0.59835
7H 2H,0.38101
7H 2D,0.346035
7H 2C,0.34537
7H 2S,0.34691
7H 3H,0.398585
7H 3D,0.36714
7H 3C,0.36735
7H 3S,0.364335
7H 4H,0.41935
7H 4D,0.385405
7H 4C,0.38534
7H 4S,0.38494
7H 5H,0.436485
7H 5D,0.405965
7H 5C,0.40544
7H 5S,0.40388
7H 6H,0.453165
7H 6D,0.42262
7H 6C,0.425985
7H 6S,0.421105
7H 7D,0.664055
7H 7C,0.66283
7H 7S,0.662335
7H 8H,0.47767
7H 8D,0.447795
7H 8C,0.448515
7H 8S,0.449575
7H 9H,0.49206
7H 9D,0.46465
7H 9C,0.463555
7H 9S,0.46232
7H TH,0.507735
7H TD,0.481705
7H TC,0.479165
7H TS,0.47689
7H JH,0.523155
7H JD,0.49469
7H JC,0.49581
7H JS,0.498085
7H QH,0.54371
7H QD,0.516125
7H QC,0.51714
7H QS,0.51833
7H KH,0.573735
7H KD,0.552055
7H KC,0.55337
7H KS,0.55245
7H AH,0.60853
7H AD,0.59017
7H AC,0.58864
7H AS,0.590445
7D 2H,0.346035
7D 2D,0.381285
7D 2C,0.346005
7D 2S,0.346475
7D 3H,0.366155
7D 3D,0.400535
7D 3C,0.364405
7D 3S,0.36416
7D 4H,0.385765
7D 4D,0.418115
7D 4C,0.387065
7D 4S,0.384455
7D 5H,0.40263
7D 5D,0.43481
7D 5C,0.4056
7D 5S,0.406525
7D 6H,0.424075
7D 6D,0.45369
7D 6C,0.423035
7D 6S,0.422045
7D 7H,0.66327
7D 7C,0.66325
7D 7S,0.66083
7D 8H,0.4514
7D 8D,0.480365
7D 8C,0.44999
7D 8S,0.450755
7D 9H,0.462085
7D 9D,0.492385
7D 9C,0.461215
7D 9S,0.46207
7D TH,0.478435
7D TD,0.506485
7D TC,0.47803
7D TS,0.485305
7D JH,0.49697
7D JD,0.521145
7D JC,0.49591
7D JS,0.49948
7D QH,0.51479
7D QD,0.543985
7D QC,0.51988
7D QS,0.51648
7D KH,0.55291
7D KD,0.572965
7D KC,0.552005
7D KS,0.552025
7D AH,0.590895
7D AD,0.611065
7D AC,0.58923
7D AS,0.58678
7C 2H,0.344485
7C 2D,0.347755
7C 2C,0.380955
7C 2S,0.34497
7C 3H,0.3641
7C 3D,0.366
7C 3C,0.39988
7C 3S,0.366715
7C 4H,0.384275
7C 4D,0.385595
7C 4C,0.416665
7C 4S,0.38614
7C 5H,0.403045
7C 5D,0.402895
7C 5C,0.43314
7C 5S,0.405615
7C 6H,0.42303
7C 6D,0.422495
7C 6C,0.454465
7C 6S,0.42299
7C 7H,0.66086
7C 7D,0.66393
7C 7S,0.664115
7C 8H,0.44985
7C 8D,0.452485
7C 8C,0.479995
7C 8S,0.44995
7C 9H,0.464185
7C 9D,0.46483
7C 9C,0.491085
7C 9S,0.462075
7C TH,0.477055
7C TD,0.47889
7C TC,0.505055
7C TS,0.479515
7C JH,0.494055
7C JD,0.495095
7C JC,0.52362
7C JS,0.49664
7C QH,0.51702
7C QD,0.516535
7C QC,0.54344
7C QS,0.51712
7C KH,0.55218
7C KD,0.552165
7C KC,0.573075
7C KS,0.553045
7C AH,0.589935
7C AD,0.587505
7C AC,0.60822
7C AS,0.590775
7S 2H,0.347805
7S 2D,0.34597
7S 2C,0.345535
7S 2S,0.381615
7S 3H,0.36687
7S 3D,0.366365
7S 3C,0.366775
7S 3S,0.40102
7S 4H,0.38839
7S 4D,0.38307
7S 4C,0.38605
7S 4S,0.420625
7S 5H,0.407605
7S 5D,0.40683
7S 5C,0.405455
7S 5S,0.437505
7S 6H,0.420725
7S 6D,0.425035
7S 6C,0.421855
7S 6S,0.45528
7S 7H,0.6629
7S 7D,0.660685
7S 7C,0.66259
7S 8H,0.450475
7S 8D,0.44818
7S 8C,0.44861
7S 8S,0.48223
7S 9H,0.461255
7S 9D,0.460225
7S 9C,0.463075
7S 9S,0.490665
7S TH,0.47983
7S TD,0.47884
7S TC,0.48074
7S TS,0.506845
7S JH,0.495845
7S JD,0.495305
7S JC,0.49384
7S JS,0.52297
7S QH,0.51873
7S QD,0.52001
7S QC,0.519235
7S QS,0.54134
7S KH,0.550335
7S KD,0.551025
7S KC,0.552745
7S KS,0.576835
7S AH,0.5892
7S AD,0.588735
7S AC,0.58774
7S AS,0.60928
8H 2H,0.40468
8H 2D,0.367765
8H 2C,0.370105
8H 2S,0.368375
8H 3H,0.41031
8H 3D,0.375955
8H 3C,0.375465
8H 3S,0.37276
8H 4H,0.42357
8H 4D,0.395015
8H 4C,0.395305
8H 4S,0.39478
8H 5H,0.44542
8H 5D,0.4143
8H 5C,0.41393
8H 5S,0.41368
8H 6H,0.464285
8H 6D,0.4301
8H 6C,0.432755
8H 6S,0.431295
8H 7H,0.48355
8H 7D,0.45413
8H 7C,0.45005
8H 7S,0.450515
8H 8D,0.69053
8H 8C,0.69096
8H 8S,0.690455
8H 9H,0.50893
8H 9D,0.48203
8H 9C,0.479045
8H 9S,0.48104
8H TH,0.52136
8H TD,0.4982
8H TC,0.49662
8H TS,0.498135
8H JH,0.540375
8H JD,0.515485
8H JC,0.516325
8H JS,0.514805
8H QH,0.562785
8H QD,0.534435
8H QC,0.53639
8H QS,0.53266
8H KH,0.582645
8H KD,0.56076
8H KC,0.56164
8H KS,0.558895
8H AH,0.61995
8H AD,0.599095
8H AC,0.599515
8H AS,0.60134
8D 2H,0.370125
8D 2D,0.40105
8D 2C,0.368075
8D 2S,0.36935
8D 3H,0.37603
8D 3D,0.405805
8D 3C,0.374495
8D 3S,0.37417
8D 4H,0.394935
8D 4D,0.428685
8D 4C,0.39587
8D 4S,0.39234
8D 5H,0.415415
8D 5D,0.44243
8D 5C,0.414875
8D 5S,0.410975
8D 6H,0.43259
8D 6D,0.463275
8D 6C,0.43241
8D 6S,0.431695
8D 7H,0.44856
8D 7D,0.479275
8D 7C,0.45263
8D 7S,0.45046
8D 8H,0.69286
8D 8C,0.69064
8D 8S,0.691085
8D 9H,0.483175
8D 9D,0.5086
8D 9C,0.48154
8D 9S,0.479465
8D TH,0.494875
8D TD,0.52301
8D TC,0.4973
8D TS,0.496615
8D JH,0.51848
8D JD,0.53905
8D JC,0.51651
8D JS,0.51326
